test,device,signal,value,timestamp,delta
1,,,,,
,raspberry-pi,gpio17,0,2026-04-16T09:41:06.659Z,4660
,raspberry-pi,gpio17,1,2026-04-16T09:41:14.134Z,7484
,raspberry-pi,gpio6,1,2026-04-16T09:41:18.877Z,16163
,raspberry-pi,gpio6,0,2026-04-16T09:41:19.076Z,738
,raspberry-pi,gpio6,1,2026-04-16T09:41:19.093Z,204
,raspberry-pi,gpio6,0,2026-04-16T09:41:19.132Z,7
,raspberry-pi,gpio6,1,2026-04-16T09:41:19.161Z,38
,raspberry-pi,gpio6,0,2026-04-16T09:41:19.174Z,30
,raspberry-pi,gpio6,1,2026-04-16T09:41:19.309Z,11
,raspberry-pi,gpio6,0,2026-04-16T09:41:19.315Z,136
,raspberry-pi,gpio6,1,2026-04-16T09:41:19.319Z,5
,raspberry-pi,gpio5,1,2026-04-16T09:41:19.325Z,17338
,raspberry-pi,gpio5,0,2026-04-16T09:41:19.355Z,7
,raspberry-pi,gpio6,0,2026-04-16T09:41:19.366Z,40
,raspberry-pi,gpio6,1,2026-04-16T09:41:19.377Z,11
,raspberry-pi,gpio6,0,2026-04-16T09:41:19.426Z,12
,raspberry-pi,gpio26,1,2026-04-16T09:41:19.866Z,17875
,raspberry-pi,gpio6,1,2026-04-16T09:41:19.891Z,493
,raspberry-pi,gpio6,0,2026-04-16T09:41:20.027Z,24
,raspberry-pi,gpio6,1,2026-04-16T09:41:20.046Z,133
,raspberry-pi,gpio6,0,2026-04-16T09:41:20.063Z,21
,raspberry-pi,gpio26,0,2026-04-16T09:41:20.404Z,201
,raspberry-pi,gpio26,1,2026-04-16T09:41:20.507Z,439
,raspberry-pi,gpio5,1,2026-04-16T09:41:20.598Z,1266
,raspberry-pi,gpio26,0,2026-04-16T09:41:20.602Z,91
,raspberry-pi,gpio5,0,2026-04-16T09:41:20.659Z,14
,raspberry-pi,gpio17,0,2026-04-16T09:41:25.977Z,11829
,raspberry-pi,gpio17,1,2026-04-16T09:41:33.207Z,7243
,raspberry-pi,gpio6,1,2026-04-16T09:41:37.957Z,17169
,raspberry-pi,gpio6,0,2026-04-16T09:41:38.248Z,746
,raspberry-pi,gpio6,1,2026-04-16T09:41:38.401Z,285
,raspberry-pi,gpio6,0,2026-04-16T09:41:38.406Z,153
,raspberry-pi,gpio6,1,2026-04-16T09:41:38.411Z,5
,raspberry-pi,gpio6,0,2026-04-16T09:41:38.416Z,4
,raspberry-pi,gpio6,1,2026-04-16T09:41:38.433Z,7
,raspberry-pi,gpio6,0,2026-04-16T09:41:38.478Z,18
,raspberry-pi,gpio6,1,2026-04-16T09:41:38.482Z,42
,raspberry-pi,gpio6,0,2026-04-16T09:41:38.511Z,6
,raspberry-pi,gpio26,1,2026-04-16T09:41:38.966Z,18369
,raspberry-pi,gpio6,1,2026-04-16T09:41:38.996Z,508
,raspberry-pi,gpio6,0,2026-04-16T09:41:39.141Z,6
,raspberry-pi,gpio5,1,2026-04-16T09:41:39.151Z,18535
,raspberry-pi,gpio5,0,2026-04-16T09:41:39.198Z,12
,raspberry-pi,gpio5,1,2026-04-16T09:41:39.323Z,164
,raspberry-pi,gpio5,0,2026-04-16T09:41:39.436Z,9
,raspberry-pi,gpio26,0,2026-04-16T09:41:39.500Z,476
,raspberry-pi,gpio26,1,2026-04-16T09:41:39.601Z,159
,raspberry-pi,gpio5,1,2026-04-16T09:41:39.695Z,280
,raspberry-pi,gpio26,0,2026-04-16T09:41:39.700Z,10
,raspberry-pi,gpio5,0,2026-04-16T09:41:39.755Z,97
,raspberry-pi,gpio17,0,2026-04-16T09:41:44.996Z,11562
,raspberry-pi,gpio17,1,2026-04-16T09:41:52.323Z,7555
,raspberry-pi,gpio6,1,2026-04-16T09:41:57.068Z,17337
,raspberry-pi,gpio6,0,2026-04-16T09:41:57.279Z,739
,raspberry-pi,gpio6,1,2026-04-16T09:41:57.290Z,212
,raspberry-pi,gpio6,0,2026-04-16T09:41:57.310Z,7
,raspberry-pi,gpio6,1,2026-04-16T09:41:57.344Z,47
,raspberry-pi,gpio6,0,2026-04-16T09:41:57.351Z,5
,raspberry-pi,gpio6,1,2026-04-16T09:41:57.356Z,6
,raspberry-pi,gpio6,0,2026-04-16T09:41:57.476Z,7
,raspberry-pi,gpio6,1,2026-04-16T09:41:57.482Z,119
,raspberry-pi,gpio6,0,2026-04-16T09:41:57.489Z,6
,raspberry-pi,gpio6,1,2026-04-16T09:41:57.505Z,6
,raspberry-pi,gpio6,0,2026-04-16T09:41:57.510Z,16
,raspberry-pi,gpio6,1,2026-04-16T09:41:57.523Z,7
,raspberry-pi,gpio6,0,2026-04-16T09:41:57.538Z,13
,raspberry-pi,gpio6,1,2026-04-16T09:41:57.553Z,13
,raspberry-pi,gpio6,0,2026-04-16T09:41:57.617Z,17
,raspberry-pi,gpio26,1,2026-04-16T09:41:58.065Z,18454
